moves1,pieces1,timePerMove1
0,32,112
2,32,167
4,32,283
6,32,848
8,32,681
10,30,1062
12,30,941
14,30,603
16,29,575
18,29,871
20,29,1198
22,29,1261
24,29,488
26,29,565
28,29,1174
30,27,356
32,26,1081
34,26,485
36,25,1276
38,24,453
40,24,991
42,24,443
44,23,131
46,21,746
48,20,1158
50,20,1059
52,20,1139
54,20,697
56,20,2778
58,18,2367
60,18,2983
62,18,2426
64,18,1305
66,18,649
68,18,603
70,17,347
72,17,189
74,16,298
76,14,118
78,14,106
80,14,102
82,14,91
84,14,55
86,14,64
88,13,85
90,13,85
92,13,76
94,12,16
96,11,11
98,10,7
100,10,10
moves2,pieces2,timePerMove2
1,32,155
3,32,443
5,32,804
7,32,1134
9,32,470
11,32,1529
13,32,2314
15,32,1879
17,31,638
19,30,551
21,30,1108
23,30,1244
25,30,826
27,30,1539
29,28,929
31,26,537
33,26,829
35,24,559
37,23,183
39,21,198
41,21,388
43,21,344
45,19,138
47,19,348
49,19,930
51,19,616
53,19,72
55,19,104
57,17,311
59,17,441
61,17,285
63,15,66
65,15,93
67,15,39
69,14,245
71,14,295
73,14,187
75,13,31
77,13,103
79,13,109
81,13,109
83,13,43
85,13,30
87,12,54
89,12,124
91,12,98
93,12,60
95,12,38
97,12,11
99,10,25
101,10,34
103,10,83
105,10,79
107,9,134
109,8,29
111,8,9
113,8,7
115,8,11
117,8,21
119,8,30
121,7,24
123,7,4
125,7,9
127,6,11
moves3,pieces3,timePerMove3
0,32,93
2,32,98
4,32,214
6,32,351
8,32,548
10,32,499
12,32,2301
14,30,1671
16,30,1028
18,28,558
20,28,245
22,27,899
24,27,2434
26,25,907
28,24,320
30,24,1287
32,24,638
34,24,1272
36,24,1328
38,24,1401
40,24,1029
42,24,497
44,24,1158
46,24,186
48,22,42
50,21,158
52,21,563
54,20,66
56,20,263
58,20,230
60,19,559
62,19,460
64,18,229
66,17,35
68,17,37
70,17,37
72,17,51
74,16,35
76,16,48
78,16,81
80,16,7
moves4,pieces4,timePerMove4
1,32,90
3,32,187
5,32,278
7,32,987
9,32,476
11,31,1689
13,31,3003
15,31,3550
17,31,3174
19,31,2303
21,31,3178
23,31,2443
25,31,1697
27,31,2183
29,30,2343
31,30,1846
33,28,1609
35,28,4267
37,28,2043
39,28,1807
41,28,1625
43,28,451
45,27,2124
47,26,217
49,24,174
51,24,845
53,23,303
55,23,596
57,21,316
59,21,503
61,21,294
63,21,241
65,21,514
67,20,495
69,20,207
71,20,168
73,20,484
75,19,1434
77,19,1097
79,18,243
81,17,402
83,17,315
85,16,235
87,16,77
89,16,268
91,16,322
93,15,217
95,15,133
97,15,222
99,14,112
101,14,64
103,13,142
105,12,3
